eventID,year,month,day,longitude,latitude,magnitude,sigmaMagnitude
451,1642,6,13,9.669,45.435,5.04,0.31
452,1642,11,28,8.176,49.607,3.82,0.36
453,1642,12,2,6.933,47,3,0.54
454,1644,2,15,7.217,43.95,6.1,0.43
455,1644,4,20,8.067,47.383,3.9,0.67
456,1644,4,21,7.917,47.467,3.5,0.67
457,1644,4,30,7.833,47.467,3.6,0.46
458,1644,6,13,6.2,46.217,3.9,0.67
459,1646,4,5,10.321,43.55,4.99,0.33
460,1646,4,27,2.233,44.55,4.1,0.43
461,1646,10,27,3.883,45.033,3.8,0.53
462,1646,12,5,5.3,47.817,3,0.54
463,1647,5,4,7.617,47.467,3.9,0.67
464,1647,11,16,-2.933,48.217,3.2,0.51
465,1648,1,13,10.913,43.932,4.51,0.34
466,1648,3,31,-2.933,48.217,3.2,0.51
467,1648,7,30,-0.883,45.95,4,0.44
468,1648,12,3,6.933,47,3,0.54
469,1649,3,20,5.05,45.333,3.7,0.63
470,1649,12,5,6.933,47,4.1,0.52
471,1650,1,10,9.37,47.42,3.2,0.67
472,1650,1,18,9.44,47.23,3.85,0.6
473,1650,1,19,9.44,47.23,3.9,0.67
474,1650,1,20,9.44,47.23,3.9,0.67
475,1650,1,21,9.44,47.23,3.9,0.67
476,1650,1,22,9.44,47.23,3.9,0.67
477,1650,1,23,9.44,47.23,3.9,0.67
478,1650,2,15,7.6,47.483,3.9,0.67
479,1650,3,15,7.617,47.483,3.9,0.67
480,1650,5,2,7.633,47.483,3.9,0.67
481,1650,5,16,7.6,47.55,4.5,0.53
482,1650,6,15,-0.1,43,2.8,0.56
483,1650,7,11,7.583,47.533,3.9,0.67
484,1650,7,26,7.55,47.517,3.9,0.67
485,1650,8,18,9.533,46.867,3.9,0.67
486,1650,9,12,7.65,47.517,4.3,0.67
487,1650,9,16,7.617,47.5,3.9,0.67
488,1650,9,21,7.6,47.55,5.3,0.44
489,1650,9,30,6.66,46.52,3.9,0.67
490,1650,9,30,9.37,47.42,3.9,0.67
491,1650,10,15,7.55,47.483,3.9,0.67
492,1650,10,18,8.64,47.7,3.9,0.67
493,1650,10,25,9.7,47.56,3.9,0.67
494,1650,10,27,8.067,47.383,3.9,0.67
495,1650,10,27,8.73,47.25,3.9,0.67
496,1650,10,28,8.89,47.56,4.7,0.33
497,1650,10,30,8.89,47.56,4.02,0.75
498,1650,11,3,7.73,47.48,3.9,0.67
499,1650,11,4,9.7,47.56,3.9,0.33
500,1650,11,7,8.64,47.7,3.9,0.67
501,1650,11,9,7.617,47.5,3.5,0.67
502,1650,12,15,6.8,47,3.9,0.67
503,1651,3,26,8.48,47.48,3.9,0.67
504,1651,6,8,10,46.5,3.9,0.67
505,1651,6,15,-0.1,43,2.8,0.56
506,1651,6,15,9.18,47.23,3.9,0.67
507,1651,6,23,9.467,47.233,3.5,0.67
508,1651,6,25,10,46.5,3.9,0.67
509,1651,8,3,10,46.5,3.9,0.67
510,1651,8,24,1.083,46.217,3.4,0.53
511,1651,10,29,9.467,47.233,3.5,0.67
512,1651,11,26,8.64,47.7,3.9,0.67
513,1651,12,17,6.15,46.217,2.6,0.65
514,1652,1,14,2.317,46.5,3.5,0.46
515,1652,2,11,8.25,47.48,3.9,0.67
516,1653,1,24,7.6,47.55,3.8,0.53
517,1653,3,17,7.54,47.21,3.9,0.67
